,place,category,location
651,프로마치,양식,서울특별시 성북구 안암동5가
652,해물의제왕,조개요리,강원도 삼척시 갈천동
653,커피사람친구,카페|디저트,대구광역시 중구 동문동
654,소문듣고왔습니다,카페,대구광역시 중구 남산동
655,용차용차,카페|디저트,부산광역시 금정구 장전동
656,킨로우라멘,일본식라면,서울특별시 동작구 신대방동
657,선심돈카츠,돈가스,서울특별시 서초구 방배동
658,돈이랑 성산점,돼지고기구이,제주특별자치도 서귀포시 성산읍
659,양키통닭 본점,맥주|호프,서울특별시 영등포구 문래동2가
660,또보겠지떡볶이집 붕붕허니비점,분식,서울특별시 마포구 동교동
661,연돈,돈가스,제주특별자치 서귀포시 색달동
662,고기정류장,돼지고기구이,제주특별자치도 서귀포시 중문동
663,다물선횟집,생선회,강원도 강릉시 주문진읍
664,육갑식당 본점,육류|고기요리,서울특별시 서초구 방배동
665,리틀포레스트,이탈리아음식,충청남도 천안시 서북구
666,금화왕돈까스 구월아시아드점,돈가스,인천광역시 남동구 구월동
667,알로이삥삥,태국음식,부산광역시 수영구 민락동
668,수북하이,카페|디저트,대구광역시 북구 고성동3가
669,크럼앤크러스트,베이커리,경기도 하남시 망월동
670,와비,카페|디저트,경상남도 창원시 의창구
671,에베레스트 레스토랑,인도음식,서울특별시 영등포구 영등포동
672,카우앤비프,와인,부산광역시 수영구 남천동
673,공리,중식당,서울특별시 강남구 논현동
674,약수전선생,전|빈대떡,서울특별시 중구 신당동
675,유리카페,카페,인천광역시 강화군 길상면
676,와일드플라워,양식,서울특별시 서초구 방배동
677,오늘도회는뜬다,생선회,제주특별자치도 제주시 조천읍
678,코우,일식당,제주특별자치도 서귀포시 강정동
679,크리스탈제이드 소공점,중식당,서울특별시 중구 소공동
680,만족한상회,한식,제주특별자치도 서귀포시 중문동
681,참치왕 이정규,생선회,광주광역시 서구 동천동
682,싱싱조개,한식,서울특별시 동작구 사당동
683,식당수북,일식당,경기도 고양시 일산서구
684,이프노즈커피,카페|디저트,서울특별시 중랑구 묵동
685,고관함박,양식,부산광역시 동구 수정동
686,메밀로43,막국수,경기도 광주시 남한산성면
687,해왕조개전문 둔촌점,조개요리,서울특별시 강동구 성내동
688,다찌 칸쇼쿠,이자카야,충청북도 청주시 서원구
689,커피앤플레이스,카페,서울특별시 강서구 화곡동
690,모리텐,일식당,경상남도 창원시 의창구
691,아낙네그루브,양식,서울특별시 송파구 송파동
692,신 누들떡볶이,종합분식,충청남도 천안시 서북구
693,더클리프,카페|디저트,제주특별자치도 서귀포시 색달동
694,비비비,카페|디저트,충청남도 부여군 부여읍
695,커피311,카페,경상북도 포항시 남구
696,에그박스 순천본점,토스트,전라남도 순천시 오천동
697,헤이든신씨어,카페|디저트,부산광역시 금정구 금성동
698,포케올데이,다이어트|샐러드,인천광역시 연수구 송도동
699,영점영메가헤르츠,카페|디저트,경기도 시흥시 정왕동
700,기욤 판교 아브뉴프랑점,카페|디저트,경기도 성남시 분당구
701,리마,양식,서울특별시 마포구 서교동
702,MODEST IMPACT,테이크아웃커피,세종특별자치시 조치원읍 원리
703,후라토식당 경복궁 본점,일식당,서울특별시 종로구 당주동
704,커피창고로,카페,전라남도 목포시 상동
705,비봉손칼국수,칼국수|만두,경기도 화성시 비봉면
706,오핑,카페|디저트,경상북도 포항시 남구
707,장미맨숀 모란점,요리주점,경기도 성남시 중원구
708,제주한면가,국수,제주특별자치도 제주시 조천읍
709,정라멘,일본식라면,서울특별시 송파구 삼전동
710,벨라디저트카페,카페|디저트,서울특별시 금천구 독산동
711,경양카츠 X 경양선술,이자카야,서울특별시 성동구 행당동
712,고집돌우럭 제주공항점,향토음식,제주특별자치도 제주시 건입동
713,섬진강재첩국수,한식,전라남도 구례군 토지면
714,밀떡팩토리,떡볶이,서울특별시 강남구 신사동
715,투게더투겟헐,브런치,경상남도 김해시 봉황동
716,빠르끄,카페|디저트,경기도 고양시 일산동구
717,아키비스트,카페,서울특별시 종로구 효자동
718,하와이안비치카페,카페|디저트,제주특별자치도 서귀포시 성산읍
719,발리인망원,아시아음식,서울특별시 마포구 망원동
720,온오프,돈가스,제주특별자치도 제주시 우도면
721,아르틴,브런치,경기도 성남시 분당구
722,파이꽁뜨,카페|디저트,충청남도 아산시 용화동
723,르브와 종로점,이탈리아음식,서울특별시 종로구 관철동
724,오륙도가원,소고기구이,부산광역시 남구 용호동
725,인생초밥,초밥|롤,경기도 부천시 옥길동
726,금송해장,해장국,서울특별시 강남구 역삼동
727,카페 오솔레이,카페|디저트,충청북도 음성군 맹동면
728,맘모스회센터28호,생선회,인천광역시 중구 항동7가
729,강마을다람쥐 덕소점,한식,경기도 남양주시 와부읍
730,딥블랙,카페|디저트,충청남도 천안시 서북구
731,올리브맨션,카페,울산광역시 북구 염포동
732,하우스 베이커리,베이커리,경기도 양평군 서종면
733,호텔세느장,카페|디저트,서울특별시 종로구 낙원동
734,뺑드르뱅&amp;커피칸타빌레,테이크아웃커피,경기도 안양시 동안구
735,봉평차이나,중식당,강원도 평창군 봉평면
736,미즈컨테이너 강남 이스트,이탈리아음식,서울특별시 강남구 역삼동
737,동래밀면 본점,국수,부산광역시 동래구 수안동
738,르시랑스,베이커리,경기도 파주시 탄현면
739,드링커블,맥주|호프,대전광역시 유성구 봉명동
740,월남면반,베트남음식,부산광역시 강서구 명지동
741,효자막창 대전둔산점,곱창|막창|양,대전광역시 서구 둔산동
742,대새목장,카페,대구광역시 달성군 가창면
743,광장해물왕파전,한식,전라북도 군산시 미룡동
744,260도 송도유원지점,소고기구이,인천광역시 연수구 옥련동
745,미소의집,떡볶이,서울특별시 서초구 반포본동
746,스푼앤포크키친,양식,서울특별시 도봉구 쌍문동
747,어글리소사이어티,바(BAR),서울특별시 용산구 이태원동
748,용궁횟집,생선회,인천광역시 강화군 화도면
749,박사부대찌개&amp;파불고기,한식,서울특별시 강서구 마곡동
750,러브앤피스,카페|디저트,경기도 화성시 영천동
751,에이프레임,카페|디저트,강원도 고성군 죽왕면
752,카페허밍바이런베이점,테이크아웃커피,대전광역시 대덕구 법동
753,송암식당,돈가스,강원도 춘천시 삼천동
754,비스트로 오라,이탈리아음식,서울특별시 마포구 연남동
755,아기 해녀의 집,한식,제주특별자치도 제주시 애월읍
756,카페소소한,카페|디저트,경기도 수원시 영통구
757,오르막40,카페|디저트,부산광역시 해운대구 반여동
758,가득,초밥|롤,전라북도 전주시 완산구
759,안432,돈가스,강원도 원주시 반곡동
760,다페레스토랑,인도음식,서울특별시 마포구 상수동
761,청해야,생선회,제주특별자치도 제주시 용담3동
762,미가원,한식,경기도 부천시 상동
763,보나리베,베이커리,경기도 남양주시 별내동
764,면대장바지락생칼국수,칼국수|만두,경상북도 포항시 남구
765,울진대게궁7호,대게요리,경상북도 울진군 죽변면
766,월정멘보,한식,제주특별자치도 제주시 구좌읍
767,카페마마스 강남역점,양식,서울특별시 서초구 서초동
768,건강한밥상,한식,경기도 광주시 남한산성면
769,소한마리정육식당,정육식당,서울특별시 중랑구 망우동
770,스즈란테이 발산점,일식당,서울특별시 강서구 마곡동
771,슬랩,카페|디저트,제주특별자치도 제주시 한림읍
772,인더모닝,카페|디저트,울산광역시 중구 옥교동
773,중화명가,중식당,경기도 의정부시 민락동
774,Cafe My NZ,브런치,경기도 오산시 내삼미동
775,김선장횟집,생선회,대구광역시 동구 신기동
776,렛미베이크,베이커리,서울특별시 강동구 암사동
777,부산케키,카페|디저트,경기도 군포시 당동
778,낙원다방,다방,부산광역시 수영구 망미동
779,팜테이블 수성못점,베이커리,대구광역시 수성구 두산동
780,문화식당,요리주점,서울특별시 성동구 성수동2가
781,경양카츠 대전둔산점,돈가스,대전광역시 서구 둔산동
782,불만제로,생선회,인천광역시 남동구 논현동
783,보뚱치89,양식,경기도 광주시 오포읍
784,라렌느,카페|디저트,서울특별시 종로구 익선동
785,루키,카페|디저트,광주광역시 남구 양림동
786,비커피,카페|디저트,부산광역시 해운대구 우동
787,페스코비건즈,양식,인천광역시 중구 내동
788,뚠뚠이김밥 산본점,김밥,경기도 군포시 산본동
789,발콘드예울,카페,전라남도 여수시 웅천동
790,메이웨이 충장,중식당,광주광역시 동구 황금동
791,카페 툇마루,카페|디저트,강원도 강릉시 초당동
792,올더플레이트 송파점,퓨전음식,서울특별시 송파구 송파동
793,시티바캉스,양식,부산광역시 수영구 광안동
794,보통공간,카페|디저트,서울특별시 마포구 연남동
795,동복뚝배기,향토음식,제주특별자치도 제주시 구좌읍
796,카페 애프터눈,카페|디저트,서울특별시 중랑구 묵동
797,본가서대문족발 본점,족발|보쌈,서울특별시 서대문구 미근동
798,다감,양식,서울특별시 강서구 화곡동
799,미디엄스톤,카페|디저트,서울특별시 성동구 성수동1가
800,슬로우캘리,양식,서울특별시 마포구 연남동
801,제주크랩잭,양식,제주특별자치도 제주시 애월읍
802,이슬집,요리주점,서울특별시 은평구 갈현동
803,지혜수산,생선회,인천광역시 부평구 갈산동
804,호맥,맥주|호프,부산광역시 북구 덕천동
805,친봉산장,양식,제주특별자치도 제주시 구좌읍
806,달달술집,요리주점,부산광역시 중구 중앙동1가
807,야키토리 타키비,요리주점,제주특별자치도 서귀포시 중문동
808,캔버스다락,카페|디저트,부산광역시 영도구 영선동4가
809,앤드테라스,카페|디저트,경기도 파주시 오도동
810,국수의전설,한식,제주특별자치도 서귀포시 신효동
811,제주 함덕 라라떼 커피,카페,제주특별자치도 제주시 조천읍
812,로머스커피,카페|디저트,경상북도 경주시 진현동
813,목동포차 신도림점,포장마차,서울특별시 구로구 신도림동
814,블랙업커피 옥동점,카페,울산광역시 남구 옥동
815,다미안,베이커리,제주특별자치도 서귀포시 법환동
816,맞배집,맥주|호프,대전광역시 중구 대흥동
817,빅토리아베이커리,베이커리,서울특별시 성동구 성수동1가
818,북창동순두부 롯데월드점,한식,서울특별시 송파구 잠실동
819,해피치즈스마일,종합분식,대구광역시 중구 삼덕동3가
820,레이더,카페|디저트,서울특별시 성동구 성수동2가
821,청킹맨션,중식당,광주광역시 동구 불로동
822,안주방,요리주점,서울특별시 강남구 신사동
823,맘마미아,카페|디저트,서울특별시 강남구 신사동
824,농장사람들,육류|고기요리,서울특별시 관악구 봉천동
825,카페크러쉬온드,카페|디저트,대전광역시 서구 둔산동
826,우와,일식당,서울특별시 강남구 신사동
827,마라도횟집,생선회,제주특별자치도 제주시 연동
828,비스트로쉐프,스파게티|파스타전문,인천광역시 중구 신포동
829,카페 귤꽃다락,카페|디저트,제주특별자치도 서귀포시 서호동
830,이너커피,카페|디저트,서울특별시 서초구 방배동
831,젠틀키친,양식,서울특별시 마포구 연남동
832,리꼬비,카페|디저트,대구광역시 중구 교동
833,효뜨,베트남음식,서울특별시 용산구 한강로2가
834,쿠라,일식당,부산광역시 해운대구 중동
835,가봉반과,카페|디저트,경상북도 경주시 사정동
836,카페모로,카페|디저트,서울특별시 마포구 연남동
837,메종 데 쎄종,카페|디저트,서울특별시 종로구 누하동
838,디앤유커피 범서점,카페|디저트,울산광역시 울주군 범서읍
839,주경야돈,돼지고기구이,서울특별시 성북구 동선동1가
840,낙동강생오리집,오리요리,부산광역시 중구 부평동3가
841,카페 스윙,카페|디저트,경상남도 통영시 산양읍
842,오랑지,카페,서울특별시 마포구 연남동
843,도마 유즈라멘,한식,서울특별시 종로구 재동
844,맛남살롱,브런치,인천광역시 부평구 갈산동
845,제주상회,한식,서울특별시 서대문구 창천동
846,인아워타임,브런치,경상북도 경주시 성동동
847,본앤우480,소고기구이,광주광역시 서구 매월동
848,그리다앤쿡,양식,제주특별자치도 제주시 이도이동
849,파쿠야,요리주점,광주광역시 광산구 수완동
850,크림,카페|디저트,제주특별자치도 제주시 삼도이동
851,다원식당,양식,서울특별시 광진구 화양동
852,키노야,이자카야,경기도 구리시 토평동
853,가교,일식당,대구광역시 중구 종로2가
854,부부커피,베이커리,서울특별시 관악구 신림동
855,함박식당,양식,서울특별시 종로구 필운동
856,씨사이드,맥주|호프,강원도 강릉시 사천면
857,송어의꿈,스파게티|파스타전문,서울특별시 영등포구 문래동3가
858,카페산,카페|디저트,충청북도 단양군 가곡면
859,어부피자,양식,제주특별자치도 서귀포시 성산읍
860,5L2F,카페,제주특별자치도 제주시 조천읍
861,중화객잔 수,중식당,서울특별시 용산구 한강로2가
862,물레방아식당,한식,경상북도 구미시 남통동
863,이춘옥원조고등어쌈밥,쌈밥,제주특별자치도 제주시 애월읍
864,카쯔야 종로점,돈가스,서울특별시 종로구 관철동
865,카페 콩스탕스,카페|디저트,경상북도 경주시 북군동
866,인생전집,전|빈대떡,서울특별시 성북구 동소문동5가
867,네모집 직영본점,소고기구이,서울특별시 강남구 논현동
868,무거버거,햄버거,제주특별자치도 제주시 조천읍
869,해운대31cm해물칼국수 수성점,칼국수|만두,대구광역시 수성구 범물동
870,슬런치,양식,서울특별시 마포구 상수동
871,떡하니 문어떡볶이,떡볶이,제주특별자치도 제주시 구좌읍
872,파스타,스파게티|파스타전문,경기도 이천시 중리동
873,협재이길,카페|디저트,주특별자치도 제주시 한림읍
874,합송리 994,카페,충청남도 부여군 규암면
875,나비루,일식당,서울특별시 동작구 상도동
876,애월제주다,한식,제주특별자치도 제주시 애월읍
877,강릉대게,대게요리,강원도 강릉시 홍제동
878,아날로그감귤밭,과실재배,제주특별자치도 제주시 해안동
879,카페더피치,카페|디저트,경기도 시흥시 정왕동
880,간판없는집,요리주점,전라북도 전주시 완산구
881,훌림목,카페|디저트,경상북도 경주시 사정동
882,WAAAH,카페,서울특별시 강동구 성내동
883,딜리셔스프레임,양식,세종특별자치시 보람동 700-76
884,티노마드,카페|디저트,서울특별시 마포구 망원동
885,핀스커피,카페|디저트,충청남도 천안시 동남구
886,훈이네고사리육개장,향토음식,제주특별자치도 제주시 이도이동
887,두갓,카페,제주특별자치도 제주시 해안동
888,Oh vin,이탈리아음식,경기도 수원시 팔달구
889,헤이그라운드,카페|디저트,전라북도 김제시 금산면
890,레이어드1994,카페|디저트,인천광역시 중구 운북동
891,감성타코 판교점,멕시코|남미음식,경기도 성남시 분당구
892,삼인행,요리주점,경기도 안양시 동안구
893,오후다섯시 두가지착각 조차도,카페|디저트,제주특별자치도 제주시 조천읍
894,에머이 세종점,베트남음식,세종특별자치시 나성동 740
895,찰리스플레이스,카페|디저트,경기도 화성시 반송동
896,홍이네 관양본점,이자카야,경기도 안양시 동안구
897,팀호완 삼성점,딤섬|중식만두,서울특별시 강남구 삼성동
898,습관들,카페,인천광역시 중구 내동
899,언올드첨,카페|디저트,경기도 수원시 팔달구
900,세러데이아일랜드,카페,제주특별자치도 서귀포시 남원읍
901,더하이브,베이커리,경기도 남양주시 화도읍
902,AUFGLET2,카페|디저트,서울특별시 마포구 연남동
903,미영이네식당,생선회,제주특별자치도 서귀포시 대정읍
904,바룻,해물|생선요리,부산광역시 기장군 기장읍
905,온쌀국수,베트남음식,경기도 성남시 분당구
906,신야텐야윙스버거 포항두호점,덮밥,경상북도 포항시 북구
907,시청우동,우동|소바,경상남도 거제시 고현동
908,바이산코리아,갤러리카페,서울특별시 성동구 성수동2가
909,연남주막1987,전통|민속주점,서울특별시 마포구 동교동
910,육면,국수,강원도 춘천시 교동
911,엔메르,카페|디저트,서울특별시 강동구 명일동
912,루트비,브런치,대전광역시 서구 가수원동
913,어풍선어횟집,생선회,전라남도 여수시 돌산읍
914,낭만모로코,양식,서울특별시 관악구 봉천동
915,선우수산,일식당,제주특별자치 제주시 조천읍
916,부손항아리막국수,막국수,경기도 가평군 설악면
917,코미호미,카페|디저트,경기도 가평군 가평읍
918,김민섭s.s,한식,제주특별자치도 서귀포시 대정읍
919,바스버거 판교테크노밸리점,햄버거,경기도 성남시 분당구
920,스프링왈츠,플라워카페,경기도 안산시 상록구
921,섭지올레,한식,제주특별자치도 서귀포시 성산읍
922,카페라능,브런치,제주특별자치도 제주시 이호1동
923,뚝방길 홍차가게,카페|디저트,서울특별시 광진구 자양동
924,언더힐,카페,충청남도 아산시 염치읍
925,스모망,카페|디저트,경상남도 창원시 의창구
926,버니디,카페|디저트,경상남도 창원시 의창구
927,휴일로,카페|디저트,제주특별자치도 서귀포시 안덕면
928,세인트린느프렌즈 카페,카페|디저트,경기도 파주시 문발동
929,시적인순간,카페|디저트,제주특별자치도 제주시 구좌읍
930,아키노주방,일식당,인천광역시 연수구 송도동
931,에이비카페 강남1호점,카페,서울특별시 강남구 역삼동
932,비비비당,차,부산광역시 해운대구 중동
933,노라바,라면,제주특별자치도 제주시 애월읍
934,프릳츠 양재점,카페|디저트,서울특별시 서초구 서초동
935,긴죠문,일식당,경기도 고양시 덕양구
936,카페돛,카페|디저트,경기도 광주시 초월읍
937,뉴스보이버거펍청라,바(BAR),인천광역시 서구 청라동
938,디노브런치,브런치,부산광역시 부산진구 전포동
939,세런디피티 78,북카페,경기도 여주시 상거동
940,wknd Lounge,카페|디저트,인천광역시 중구 송학동2가
941,이자카야기술,요리주점,경기도 안산시 단원구
942,쇼롱,양식,대구광역시 중구 남산동
943,로브니,카페|디저트,서울특별시 강남구 역삼동
944,칙피스,양식,서울특별시 강남구 신사동
945,소예르,카페|디저트,전라남도 담양군 담양읍
946,엠오삼오,카페|디저트,경기도 수원시 영통구
947,카페코지만촌,카페|디저트,대구광역시 수성구 만촌동
948,옥돼지식당,돼지고기구이,광주광역시 남구 봉선동
949,봉빵갸또,베이커리,경기도 성남시 수정구
950,쉐프리,이탈리아음식,부산광역시 해운대구 우동
951,오크커피,카페|디저트,대구광역시 수성구 범어동
952,자매의 부엌,이탈리아음식,서울특별시 강남구 신사동
953,차현희순두부청국장,두부요리,강원도 강릉시 초당동
954,팔공산장작구이,돼지고기구이,대구광역시 동구 송정동
955,뜨랑국수,한식,제주특별자치도 서귀포시 서호동
956,청뫼향식당,한식,경상남도 하동군 청암면
957,업스테어 키친,이탈리아음식,경기도 파주시 목동동
958,브로일링커피 강동점,카페|디저트,서울특별시 강동구 성내동
959,스아게,일식당,서울특별시 마포구 서교동
960,새실정원,카페|디저트,서울특별시 관악구 봉천동
961,딱새우407,해물|생선요리,서울특별시 동작구 대방동
962,바나나하루키,카페|디저트,서울특별시 마포구 상수동
963,루브레드,베이커리,서울특별시 강서구 등촌동
964,카페말른,카페|디저트,경상남도 김해시 외동
965,다가파스타,스파게티|파스타전문,전라북도 전주시 완산구
966,소나무집초당순두부,두부요리,강원도 강릉시 초당동
967,카페비아라테,카페|디저트,제주특별자치도 서귀포시 안덕면
968,어라이크커피,카페|디저트,부산광역시 부산진구 전포동
969,우미관,장어|먹장어요리,경기도 구리시 아천동
970,퀸101,바(BAR),서울특별시 종로구 명륜4가
971,피콜로라떼,카페|디저트,경상남도 창원시 성산구
972,해방곱창 대전오류점,곱창|막창|양,대전광역시 중구 오류동
973,터프가이,요리주점,서울특별시 마포구 연남동
974,카페더한옥,카페|디저트,서울특별시 종로구 계동
975,막불감동,냉면,서울특별시 관악구 신림동
976,도대리카페,베이커리,경기도 평택시 현덕면
977,술의식물원,카페,제주특별자치도 제주시 구좌읍
978,이스트우드,카페|디저트,서울특별시 영등포구 도림동
979,귤꽃,카페,제주특별자치도 제주시 조천읍
980,인스밀,베이커리,제주특별자치도 서귀포시 대정읍
981,경양카츠X경양선술 한양대점,이자카야,서울특별시 성동구 행당동
982,29PUB 2호점,양식,서울특별시 강남구 역삼동
983,족발미학,족발|보쌈,서울특별시 관악구 남현동
984,이안테라스 베이커리카페,베이커리,충청북도 청주시 청원구
985,위샐러듀,그리스음식,서울특별시 서대문구 대현동
986,단골손님 원주단계점,요리주점,강원도 원주시 단계동
987,정식카페,카페|디저트,서울특별시 강남구 청담동
988,루체에살레,스파게티|파스타전문,서울특별시 관악구 신림동
989,미쁘동,일식당,서울특별시 마포구 연남동
990,이진태왕소금구이 수성점,돼지고기구이,대구광역시 수성구 수성동4가
991,서울대입구역 룸술집 토모 이자카야,이자카야,서울특별시 관악구 봉천동
992,피앤비코,피자,강원도 강릉시 견소동
993,포크너 신도시점,이탈리아음식,경기도 안산시 단원구
994,세븐데이즈버거,햄버거,충청남도 천안시 서북구
995,아마츄어작업실 아산점,카페|디저트,충청남도 아산시 권곡동
996,아셀카페,카페|디저트,경기도 평택시 비전동
997,조각,카페|디저트,경기도 안양시 동안구
998,할멈숨두부,두부요리,충청북도 충주시 수안보면
999,차마시는뜰,차,서울특별시 종로구 삼청동
1000,버거15,햄버거,부산광역시 강서구 명지동
1001,카페 헤일로,카페|디저트,경기도 용인시 수지구
1002,무상찻집,카페|디저트,제주특별자치도 제주시 용담1동
1003,다람쥐식탁,일식당,제주특별자치도 제주시 한림읍
1004,숙성도 중문점,돼지고기구이,제주특별자치도 서귀포시 색달동
1005,피키차일드다이닝,양식,대구광역시 중구 봉산동
1006,폴루이트,카페|디저트,서울특별시 종로구 관철동
1007,에노테카오토,이탈리아음식,서울특별시 서대문구 연희동
1008,틈,갤러리카페,서울특별시 종로구 익선동
1009,원대구탕,해물|생선요리,서울특별시 용산구 한강로1가
1010,냐항바바바,베트남음식,서울특별시 강서구 등촌동
1011,익스큐즈미,카페|디저트,서울특별시 강서구 마곡동
1012,호어모아,양식,대구광역시 남구 대명동
1013,연곡면옥,냉면,강원도 강릉시 연곡면
1014,카페메르헨,브런치,전라북도 전주시 완산구
1015,온밥,생선구이,부산광역시 수영구 광안동
1016,심야식당 쿠마,일식당,부산광역시 수영구 광안동
1017,반지하,와인,서울특별시 중랑구 면목동
1018,오그커피,카페|디저트,제주특별자치도 제주시 한림읍
1019,모립,카페|디저트,제주특별자치도 제주시 애월읍
1020,향미공간,카페,부산광역시 부산진구 전포동
1021,그집식빵,베이커리,경기도 남양주시 별내동
1022,1978테라스,이탈리아음식,서울특별시 중구 예장동
1023,오버트,카페,서울특별시 중구 신당동
1024,피오니,케이크전문,서울특별시 마포구 서교동
1025,카페썸모어,브런치,인천광역시 남동구 구월동
1026,씨맨스,카페,경상남도 사천시 송포동
1027,아키라커피 송도점,카페|디저트,인천광역시 연수구 동춘동
1028,레리엇,양식,서울특별시 용산구 이태원동
1029,플레이그라운드 브루어리,맥주|호프,경기도 고양시 일산서구
1030,카페 엘토브,베이커리,경기도 오산시 외삼미동
1031,어나더키친 전대점,양식,광주광역시 북구 용봉동
1032,물찬제비,이탈리아음식,대구광역시 중구 공평동
1033,라마앤바바나,인도음식,대구광역시 중구 봉산동
1034,피터스펍,바(BAR),부산광역시 해운대구 중동
1035,엉터리막썰이,생선회,경상남도 거제시 옥포동
1036,향화정,한식,경상북도 경주시 사정동
1037,우굼,한식,제주특별자치도 제주시 애월읍
1038,소공소공,요리주점,서울특별시 중구 북창동
1039,오씨또베이커스,베이커리,대전광역시 유성구 어은동
1040,돈부리파스타 송리단길점,스파게티|파스타전문,서울특별시 송파구 송파동
1041,따스한온도,이탈리아음식,충청남도 천안시 서북구
1042,에그썸,브런치,서울특별시 관악구 봉천동
1043,순천갈대장어,장어|먹장어요리,전라남도 순천시 연향동
1044,네기 실비,한식,서울특별시 종로구 신문로2가
1045,여덟,양식,서울특별시 마포구 연남동
1046,와인파인땡큐,와인,인천광역시 부평구 부평동
1047,씨스루 전포점,카페|디저트,부산광역시 부산진구 전포동
1048,공미학,카페|디저트,서울특별시 서초구 서초동
1049,광명돈까스,돈가스,경기도 광명시 광명동
1050,카페제노아,카페|디저트,부산광역시 중구 부평동1가
1051,부부식당,한식,서울특별시 종로구 동숭동
1052,놀빛바다,생선회,제주특별자치도 제주시 한경면
1053,연남고집,요리주점,서울특별시 마포구 연남동
1054,오르브와,베이커리,광주광역시 광산구 수완동
1055,브럭시,샌드위치,서울특별시 송파구 신천동
1056,로와맨션,카페|디저트,부산광역시 기장군 일광면
1057,산호회집,생선회,서울특별시 구로구 오류동
1058,어서 이곳,카페|디저트,경상남도 밀양시 산내면
1059,신촌브루스,카페|디저트,서울특별시 서대문구 창천동
1060,커피프렌즈촬영지,카페,제주특별자치도 서귀포시 안덕면
1061,이자카야라쿤,이자카야,서울특별시 마포구 연남동
1062,쌍곰다방,카페|디저트,인천광역시 옹진군 영흥면
1063,카페페이버릿컬러,카페,경기도 안양시 동안구
1064,땅콩상회,카페|디저트,강원도 속초시 중앙동
1065,성북동소곱창,곱창|막창|양,서울특별시 성북구 성북동
1066,마시코 노은점,해물|생선요리,대전광역시 유성구 지족동
1067,밀마커피,카페,대구광역시 남구 대명동
1068,빠레뜨한남 수성점,양식,대구광역시 수성구 지산동
1069,이두형홍두깨칼국수,칼국수|만두,경기도 화성시 안녕동
1070,우드비,카페|디저트,경기도 수원시 팔달구
1071,성산포 자연산 회센타,생선회,제주특별자치도 서귀포시 성산읍
1072,월정리 유메이우동,한식,제주특별자치도 제주시 구좌읍
1073,선아해물,수산물,경상남도 통영시 서호동
1074,루트플랜트,카페|디저트,경기도 광주시 오포읍
1075,머글 커피,카페|디저트,경기도 안양시 동안구
1076,이븐도우,피자,부산광역시 부산진구 전포동
1077,Seb'S LOUNGE,양식,서울특별시 강서구 마곡동
1078,하례정원,스파게티|파스타전문,제주특별자치도 서귀포시 남원읍
1079,세이버리,바(BAR),서울특별시 강남구 역삼1동
1080,르토아 베이스먼트,카페,제주특별자치도 제주시 구좌읍
1081,좋아해닭발,닭요리,서울특별시 마포구 서교동
1082,그레이스그래니,카페|디저트,경기도 화성시 능동
1083,세광양대창 제주연동점,곱창|막창|양,제주특별자치도 제주시 연동
1084,홍스시s,일식당,충청북도 청주시 서원구
1085,루베크,와인,서울특별시 서초구 서초동
1086,루어스,카페|디저트,전라북도 전주시 완산구
1087,카페선일,카페|디저트,경상북도 문경시 문경읍
1088,사카나식당,초밥|롤,부산광역시 해운대구 우동
1089,현가네한우돌곱창,곱창|막창|양,울산광역시 남구 달동
1090,익선동 121,한식,서울특별시 종로구 익선동
1091,동갑부부,카페|디저트,부산광역시 수영구 광안동
1092,솟대막걸리 양조장,요리주점,서울특별시 관악구 신림동
1093,청춘부부,카페|디저트,제주특별자치도 서귀포시 대정읍
1094,사가담,카페|디저트,경기도 이천시 송정동
1095,너와의 첫여행,카페|디저트,제주특별자치도 제주시 애월읍
1096,피콜로 빠체,카페|디저트,경기도 부천시 괴안동
1097,KEEP ON,카페,대구광역시 동구 신천동
1098,대장장이화덕피자,피자,서울특별시 종로구 가회동
1099,사파키친,아시아음식,대구광역시 동구 신천동
1100,에이어퍼스트로피,양식,경기도 김포시 구래동
1101,카페947,카페,경기도 남양주시 별내동
1102,라비떼,양식,경기도 성남시 분당구
1103,한상차림밥상,한식,서울특별시 성북구 안암동3가
1104,명족,족발|보쌈,대구광역시 동구 봉무동
1105,고에몬 강남점,스파게티|파스타전문,서울특별시 서초구 서초동
1106,라비앙,카페|디저트,충청남도 천안시 동남구
1107,디폴트벨류,카페|디저트,서울특별시 서대문구 연희동
1108,육값,한식,전라북도 전주시 완산구
1109,스마일사운드,카페|디저트,충청북도 청주시 상당구
1110,홍콩별밤,요리주점,경기도 부천시 심곡동
1111,너티브라운,카페|디저트,인천광역시 부평구 부개동
1112,카페델보스케,카페|디저트,제주특별자치도 서귀포시 상효동
1113,불란서식과자점,베이커리,제주특별자치도 서귀포시 안덕면
1114,경양카츠 평택비전점,돈가스,경기도 평택시 비전동
1115,카페유스,카페|디저트,대전광역시 서구 탄방동
1116,Frame676,이탈리아음식,서울특별시 동작구 신대방동
1117,취향의섬,카페|디저트,제주특별자치도 서귀포시 남원읍
1118,파스토보이 목포연산점,이탈리아음식,전라남도 목포시 연산동
1119,월정리LOWA,카페,제주특별자치도 제주시 구좌읍
1120,패티앤베지스,햄버거,서울특별시 강남구 신사동
1121,항구1465,카페|디저트,경상남도 거제시 장승포동
1122,아빠가만든전복장 아장아장,전복요리,경기도 수원시 영통구
1123,코튼테라스,카페|디저트,광주광역시 남구 봉선동
