,place,category,location
108,광명대창집 안산선부동점,곱창|막창|양,경기도 안산시 단원구
109,월미도맛집 달쭈꾸미,주꾸미요리,인천광역시 중구 북성동1가
110,미스터문초밥,초밥|롤,경기도 의정부시 호원동
111,스텝오버,카페|디저트,울산광역시 남구 옥동
112,영양왕족발,족발|보쌈,서울특별시 서대문구 남가좌동
113,세종관,한식,세종특별자치시  나성동
114,숙성도 노형본점,돼지고기구이,제주특별자치도 제주시 노형동
115,아날로그키친 삼청동점,이탈리아음식,서울특별시 종로구 삼청동
116,포크너 그랑시티자이점,이탈리아음식,경기도 안산시 상록구
117,스시전,초밥|롤,경기도 안산시 단원구
118,최고당돈가스 세종시점,돈가스,세종특별자치시 나성동 716
119,이고집만두,찌개|전골,충청남도 천안시 동남구
120,섬섬옥수,돈가스,울산광역시 남구 삼산동
121,엄돈까스,돈가스,서울특별시 강북구 미아동
122,모이핀,카페|디저트,전라남도 여수시 돌산읍
123,창심관,돼지고기구이,경기도 화성시 반송동
124,잇다프로젝트,양식,서울특별시 마포구 연남동
125,대낚식당,곱창|막창|양,서울특별시 강남구 역삼동
126,카페도로시,카페|디저트,인천광역시 중구 인현동
127,바다사랑그리고추억,돼지고기구이,제주특별자치도 제주시 애월읍
128,몰리에르,카페|디저트,대전광역시 유성구 도룡동
129,인바이트커피,카페,경기도 하남시 망월동
130,하루,돈가스,경기도 남양주시 다산동
131,목롯집,요리주점,경기도 의정부시 민락동
132,스시긴,초밥|롤,경기도 성남시 분당구
133,오늘 그리고,양식,충청북도 청주시 상당구
134,카츠오모이 홍대점,돈가스,서울특별시 마포구 서교동
135,옥자회관,돈가스,서울특별시 마포구 상암동
136,하하코식당,일식당,서울특별시 영등포구 여의도동
137,제주흑돈세상수라간,돼지고기구이,제주특별자치도 서귀포시 서홍동
138,란주라미엔,중식당,서울특별시 중구 충무로1가
139,스시&amp;,일식당,서울특별시 강동구 천호동
140,스윗픽,카페|디저트,서울특별시 중구 필동2가
141,미도정,카페|디저트,경기도 동두천시 송내동
142,토우지,이자카야,서울특별시 송파구 잠실동
143,묵리459,브런치,경기도 용인시 처인구
144,한상바다,한식,대구광역시 동구 봉무동
145,식감이야기 석남직영점,이자카야,인천광역시 서구 석남동
146,여의도황소곱창 수원망포역점,곱창|막창|양,경기도 수원시 영통구
147,카페수월,카페|디저트,광주광역시 남구 임암동
148,독립밀방,브런치,서울특별시 종로구 행촌동
149,꼬랑지마카롱,베이커리,서울특별시 서초구 반포동
150,셀레브르,카페,인천광역시 연수구 송도동
151,백옥양꼬치,양꼬치,경기도 부천시 심곡본동
152,청춘대게,한식,전라남도 여수시 학동
153,오늘도초밥,초밥|롤,경기도 시흥시 은행동
154,호작도,베이커리,경기도 수원시 팔달구
155,최고당돈가스 용문점,돈가스,서울특별시 용산구 원효로2가
156,두나래춘천닭갈비,닭갈비,대구광역시 북구 동천동
157,달인참치,일식당,경기도 의정부시 금오동
158,비스트로주라,양식,서울특별시 마포구 서교동
159,종로곱창,곱창|막창|양,서울특별시 동작구 사당동
160,구씨네부엌,양식,서울특별시 서대문구 창천동
161,달콤한서랍,카페|디저트,경기도 부천시 중동
162,피에프창 코엑스몰점,아시아음식,서울특별시 강남구 삼성동
163,하원가흑돼지,돼지고기구이,제주특별자치도 서귀포시 하원동
164,암튼,카페,서울특별시 마포구 망원동
165,각시보쌈,족발|보쌈,서울특별시 마포구 합정동
166,해아름,한식,경상북도 포항시 북구
167,뜰채,한방카페,경기도 남양주시 별내면
168,동그라미해물집,생선구이,강원도 동해시 효가동
169,Perception,카페|디저트,서울특별시 마포구 합정동
